Start Date,Class,Hedge Type,Number Of Hours,Bid MW,Bid Price,Bid MWHs,Bid MWHs Bid Price,Awarded Mw,Clearing Price,Awarded MWHs,Awarded MWHs Clearing Price,Weighted Avg Clear Price,Weighted Avg Bid Price,Auction,Market ID
06/01/2024,SELL,OBL,2069760,16578.1,33350.51,3979776.0,18564590.4,5937.5,12699.0,1406776.0,2171582.4,1.54,4.66,2024.JUN.Monthly.Auction,7750
06/01/2024,SELL,OPT,11422080,148259.1,76141.73,35628424.0,35756231.68,67762.7,62657.29,16312280.0,15740017.54,0.96,1.0,2024.JUN.Monthly.Auction,7750
06/01/2024,BUY,OBL,22710560,354634.9,-28526.22,85553712.0,28781402.96,97024.7,237330.3,23464712.0,19271487.14,0.82,0.34,2024.JUN.Monthly.Auction,7750
07/01/2024,BUY,OPT,59558280,3784470.3,273337.31,943191100.8,303325400.04,158440.8,1184398.14,39336572.0,36248903.1,0.92,0.32,2024.JUL.Monthly.Auction,7789
07/01/2024,SELL,OPT,12138040,179227.1,86098.61,45266384.8,45364272.23,84873.9,59458.92,21947651.2,14802789.35,0.67,1.0,2024.JUL.Monthly.Auction,7789
07/01/2024,BUY,OBL,22917504,371772.3,-57668.39,92666459.2,11703734.7,98152.4,156247.93,24257087.2,13011243.75,0.54,0.13,2024.JUL.Monthly.Auction,7789
07/01/2024,SELL,OBL,1957192,13810.1,19084.06,3444633.6,18004641.86,2670.1,5587.37,640875.2,1778009.18,2.77,5.23,2024.JUL.Monthly.Auction,7789
8/1/2024,SELL,OBL,2015416,16552.4,14385.41,4117173.6,11433181.22,4825.2,6878.6,1218562.4,2683373.2,2.2,2.78,2024.AUG.Monthly.Auction,7832
8/1/2024,BUY,OBL,24669920,383532.6,-70738.99,95686753.6,13221241.73,103343.5,115980.24,25611757.6,12641207.35,0.49,0.14,2024.AUG.Monthly.Auction,7832
8/1/2024,BUY,OPT,55564056,3064149.9,246042.74,761451765.6,270970451.39,129939.9,1031048.86,31935195.2,32044872.42,1.0,0.36,2024.AUG.Monthly.Auction,7832
8/1/2024,SELL,OPT,12265960,177443.1,85822.97,44682741.6,47437405.81,83016.4,57861.33,21206388.8,15585554.54,0.73,1.06,2024.AUG.Monthly.Auction,7832
