 Start Date, Class, Hedge Type, Number Of Hours, Bid MW, Bid Price,Bid MWHs,Bid MWHs Bid Price, Awarded Mw, Clearing Price,Awarded MWHs,Awarded MWHs Clearing Price,Weighted Avg Bid Price,Weighted Avg Clear Price,Auction
11/1/2020,BUY,OBL,11989189,253595.1,-6737104.55,61379367.1,-645724291.1,64101.9,59762.46838,15701949.7,7785579.189,0.495835188,-10.52021749,2020_11_NOV
11/1/2020,BUY,OPT,37017785,2224928.6,92964.71,533595453.6,123996157.8,95624.6,454572.2693,22837132.6,9906230.98,0.433777355,0.232378587,2020_11_NOV
11/1/2020,SELL,OBL,671585,13866.8,11975.56,3382682.4,13500248.52,3656,5074.176414,899685.5,2160471.07,2.401362554,3.990989079,2020_11_NOV
11/1/2020,SELL,OPT,6853946,118083.5,3639826.56,28644818.8,125829224.3,41772.9,29197.63585,10072879,10571232.84,1.049474817,4.392739406,2020_11_NOV
12/1/2020,BUY,OBL,12250376,229812,-2275720.67,57428512,-564587047.6,60266.7,36295.12646,15169793.6,5089358.95,0.33549296,-9.831127918,2020_12_DEC
12/1/2020,BUY,OPT,36177784,2045459.9,74053.94,500280200.8,115178245.6,103409.3,356090.4983,25589596,11056295.97,0.432062154,0.230227471,2020_12_DEC
12/1/2020,SELL,OBL,637864,11662.4,10534.99,2903517.6,11089420.02,2806.4,3009.264075,673481.6,1007430.542,1.495854589,3.819305251,2020_12_DEC
12/1/2020,SELL,OPT,7575000,118117.1,3624188.08,29834288,120218235.3,39384,23259.10235,9964676,9374546.123,0.940777816,4.029532572,2020_12_DEC
1/1/2021,BUY,OBL,12951312,226208.5,-6674371.95,56076898.4,-636076465.5,57773.8,54952.77359,14120160.8,9045955.561,0.640641115,-11.34293236,2021_01_JAN
1/1/2021,BUY,OPT,40077944,2241127.5,104826.79,557969880,147394986.5,89586.1,433306.8145,22133019.2,12337491.84,0.557424711,0.26416298,2021_01_JAN
1/1/2021,SELL,OBL,935912,11970.5,13302.13,3026644,7290562.872,3333.7,4704.080216,844750.4,758672.1874,0.898102194,2.408794319,2021_01_JAN
1/1/2021,SELL,OPT,8931136,144049.3,3712633.09,35874915.2,142093329.8,45895.3,41524.37488,11493893.6,10231527.17,0.890170688,3.960799044,2021_01_JAN
2/1/2021,BUY,OBL,13425376,246584.4,-2187049.6,56401564.8,-483594599.6,57169.9,45538.06762,12808284.8,6378144.379,0.497970218,-8.574134446,2021_02_FEB
2/1/2021,BUY,OPT,35658592,2238981,90330.49,499071398.4,118487290.8,85423.2,367802.8631,19317724.8,12934642.81,0.669573821,0.23741551,2021_02_FEB
2/1/2021,SELL,OBL,817760,11953.3,11877.58,2750230.4,4334091.232,4102.2,4148.224745,986880,808479.6891,0.81922796,1.575901143,2021_02_FEB
2/1/2021,SELL,OPT,7531520,132347,3624777.21,29712860.8,114273769.3,46921.1,26880.00963,10635020.8,6749599.363,0.634657843,3.84593628,2021_02_FEB
3/1/2021,BUY,OBL,15921885,226807.4,-5198847.59,57684311.5,-598536426.3,57672.8,47324.15522,14386416.2,7540491.24,0.524139656,-10.37606952,2021_03_MAR
3/1/2021,BUY,OPT,40612567,2191213.7,93530.31,527760251.1,137966165.3,95364.6,368969.4042,23695080,14721846.56,0.62130394,0.261418258,2021_03_MAR
3/1/2021,SELL,OBL,930731,16258,10947.63,4105858.6,6873846.235,4434.4,3467.569474,1068341,919231.5875,0.860429009,1.674155616,2021_03_MAR
3/1/2021,SELL,OPT,8250483,127685.8,3538474.67,31862433.6,123063451.5,38763.6,25651.12052,9790031.7,7494553.127,0.765528995,3.862336853,2021_03_MAR
4/1/2021,BUY,OBL,12141040,181292.7,-2189341.39,44391464,-505216527.1,47051,41838.37386,11303664,8867707.971,0.784498546,-11.38093862,2021_04_APR
4/1/2021,BUY,OPT,36912592,1875819.6,89660.41,441956001.6,118658022.8,74626.8,416649.3679,17903622.4,10116338.31,0.565044218,0.268483791,2021_04_APR
4/1/2021,SELL,OBL,937712,16757.9,12356.76,4133728,5720321.904,7196,3110.707542,1775390.4,1300843.986,0.732708697,1.383816716,2021_04_APR
4/1/2021,SELL,OPT,7517072,115582.9,3512144.14,28055377.6,123379247,42148,26820.90838,10272163.2,7749434.484,0.754411153,4.397704025,2021_04_APR
5/1/2021,BUY,OBL,13129896,221726.3,-78459.32,55649536,-369797.224,57644.5,60453.03067,14153456,10533271.5,0.744219044,-0.006645109,2021_05_MAY
5/1/2021,BUY,OPT,30578904,1150566.7,90540.58,287829545.6,108056321.8,87350.1,397143.4084,21695527.2,10906441.62,0.502704614,0.375417755,2021_05_MAY
5/1/2021,SELL,OBL,927976,13773.9,9401.27,3477256.8,4813354.24,4956.7,1239.837031,1263461.6,1277516.252,1.011123925,1.384238932,2021_05_MAY
5/1/2021,SELL,OPT,8535456,122412,3351115.09,30484773.6,111390533.6,50287.3,32701.21743,12661071.2,9490545.127,0.74958469,3.653972801,2021_05_MAY
6/1/2021,BUY,OBL,17346816,254579.2,-122008.49,61920595.2,-4411529.296,79070,54400.72591,19214665.6,14077841.9,0.732661301,-0.071244943,2021_06_JUN
6/1/2021,BUY,OPT,27532688,1147843.6,74039.97,277648868.8,97714551.57,80592.1,277810.5001,19191856,13975119.75,0.72817969,0.351935709,2021_06_JUN
