Start Date,Class,Hedge Type,Time Of Use,Number Of Hours,Bid MW,Bid Price,Bid MWHs,Bid MWHs Bid Price,Awarded Mw,Clearing Price,Awarded MWHs,Awarded MWHs Clearing Price,Weighted Avg Clear Price,Weighted Avg Bid Price,Auction,Market ID
05/01/2021,BUY,OBL,PeakWD,753088,26303.1,-65342.63,10083782.4,-46872554.78,4542.2,1574.15,1536505.6,2056576.24,1.34,-4.65,2021.1st6.AnnualAuction.Seq5,5145
02/01/2021,BUY,OPT,PeakWD,1657296,113236.9,3514.36,36245691.2,12993055.04,5894.2,10555.55,1890180.8,1313386.33,0.69,0.36,2021.1st6.AnnualAuction.Seq5,5145
05/01/2021,SELL,OPT,PeakWE,49280,1548.5,557.26,289956.8,736481.71,404.1,350.53,71121.6,129220.93,1.82,2.54,2021.1st6.AnnualAuction.Seq5,5145
06/01/2021,SELL,OPT,Off-peak,36960,1049.9,289.68,251976.0,562302.48,277.2,166.25,66528.0,79472.79,1.19,2.23,2021.1st6.AnnualAuction.Seq5,5145
05/01/2021,BUY,OPT,PeakWE,1621536,87835.4,4184.92,18098006.4,6637877.9,5884.5,19429.01,1109860.8,670325.94,0.6,0.37,2021.1st6.AnnualAuction.Seq5,5145
01/01/2021,BUY,OBL,Off-peak,1702554,36720.6,-61865.66,27654346.0,-21886036.51,7307.1,1799.57,4840289.9,3554795.24,0.73,-0.79,2021.1st6.AnnualAuction.Seq5,5145
01/01/2021,SELL,OBL,PeakWE,59824,1056.9,96.38,611724.8,1350434.7,143.9,4.41,69038.4,16948.24,0.25,2.21,2021.1st6.AnnualAuction.Seq5,5145
01/01/2021,BUY,OPT,Off-peak,24998028,209542.9,7377.84,217415533.7,41106997.14,11660.8,31149.6,9296687.3,3479049.06,0.37,0.19,2021.1st6.AnnualAuction.Seq5,5145
02/01/2021,BUY,OBL,Off-peak,269811,16358.1,-60750.41,3676712.6,-26830992.89,4447.5,668.13,996240.0,405969.33,0.41,-7.3,2021.1st6.AnnualAuction.Seq5,5145
01/01/2021,BUY,OPT,PeakWE,18572144,253389.2,8667.11,161655974.4,32705165.04,12957.2,44889.86,5592326.4,2388904.61,0.43,0.2,2021.1st6.AnnualAuction.Seq5,5145
01/01/2021,SELL,OBL,PeakWD,155600,1126.0,290.7,1487587.2,6540224.8,113.3,122.44,106256.0,315682.99,2.97,4.4,2021.1st6.AnnualAuction.Seq5,5145
04/01/2021,SELL,OPT,PeakWE,35152,1557.9,368.48,211966.4,339824.1,611.1,296.35,78464.0,133617.28,1.7,1.6,2021.1st6.AnnualAuction.Seq5,5145
06/01/2021,SELL,OBL,PeakWD,19008,238.1,-71.82,83811.2,-34349.92,52.2,-192.01,18374.4,16605.78,0.9,-0.41,2021.1st6.AnnualAuction.Seq5,5145
05/01/2021,SELL,OBL,PeakWE,24880,569.8,-5.35,112368.0,2796.69,106.4,-296.72,21350.4,8079.19,0.38,0.02,2021.1st6.AnnualAuction.Seq5,5145
06/01/2021,BUY,OPT,Off-peak,766560,62658.0,2062.54,15037920.0,6895397.28,6096.0,5572.56,1463040.0,1402057.42,0.96,0.46,2021.1st6.AnnualAuction.Seq5,5145
04/01/2021,BUY,OPT,PeakWD,2337984,117449.2,4552.77,43956220.8,21089313.31,6886.8,16520.25,2582880.0,3345932.02,1.3,0.48,2021.1st6.AnnualAuction.Seq5,5145
04/01/2021,SELL,OPT,Off-peak,44656,1558.9,256.21,379211.2,640968.08,520.9,241.27,125016.0,213664.75,1.71,1.69,2021.1st6.AnnualAuction.Seq5,5145
03/01/2021,BUY,OPT,PeakWD,3543024,112130.2,5205.48,46655376.0,22755300.85,7330.4,16463.02,2995964.8,3664886.43,1.22,0.49,2021.1st6.AnnualAuction.Seq5,5145
06/01/2021,BUY,OBL,Off-peak,300960,16869.2,-60706.74,4048608.0,-28154307.36,4271.0,827.1,1025040.0,448970.32,0.44,-6.95,2021.1st6.AnnualAuction.Seq5,5145
